T,mbatch,time_cost,best,lowerbound
2,6,4.468585968017578,inf,13860.0
2,6,4.445554256439209,inf,13860.0
2,6,3.361504077911377,inf,13860.0
2,6,4.104315757751465,49241.0,13860.0
2,6,4.7865729331970215,inf,13860.0
2,6,2.859201192855835,inf,13860.0
2,6,3.146162986755371,inf,13860.0
2,7,2.7401320934295654,inf,13768.0
2,7,3.134855031967163,inf,13768.0
2,7,3.222097873687744,inf,13768.0
2,7,4.997529029846191,inf,13768.0
2,7,3.080655097961426,inf,13768.0
2,7,3.0684571266174316,inf,13768.0
2,7,3.1888718605041504,inf,13768.0
2,7,3.189929962158203,inf,13768.0
2,7,3.0018699169158936,inf,13768.0
2,7,3.114614963531494,inf,13768.0
2,8,3.3785271644592285,inf,13691.0
2,8,3.1729018688201904,inf,13691.0
2,8,4.161386013031006,inf,0.0
2,8,6.921669960021973,inf,0.0
2,8,3.3280398845672607,inf,0.0
2,8,3.6968278884887695,inf,13691.0
2,8,3.4935591220855713,inf,13691.0
2,8,3.1285197734832764,inf,13691.0
2,8,3.046211004257202,inf,13691.0
2,8,3.138948917388916,inf,13691.0
2,9,3.0423901081085205,inf,13989.0
2,9,3.422572135925293,inf,13989.0
2,9,3.738520860671997,inf,0.0
2,9,4.106035947799683,inf,0.0
2,9,3.36875581741333,inf,13989.0
2,9,3.3883719444274902,inf,0.0
2,9,3.128005027770996,inf,13989.0
2,9,3.1164610385894775,inf,13989.0
2,9,2.994610071182251,inf,13989.0
2,9,3.425144910812378,inf,13989.0
4,1,4.260218143463135,21850.0,16246.0
4,1,5.412576675415039,23414.0,16226.0
4,1,4.488892316818237,18826.0,16241.0
4,1,4.2505950927734375,21850.0,16243.0
4,1,4.335659980773926,18332.0,16248.0
4,1,4.2729668617248535,19798.0,16248.0
4,1,4.3386170864105225,22913.0,16239.0
4,1,4.451682806015015,21222.0,16231.0
4,1,4.422406911849976,23772.0,16239.0
4,1,4.720284938812256,20437.0,16233.0
4,2,4.731176853179932,23777.0,14809.0
4,2,5.659026861190796,34435.0,14819.0
4,2,4.559185981750488,34349.0,14816.0
4,2,4.853127956390381,23653.0,14813.0
4,2,4.455607175827026,34435.0,14820.0
